EPI_ID,CLASS
EPI00003096,3
EPI00003097,0
EPI00003098,3
EPI00003099,5
EPI00003100,3
EPI00003101,5
EPI00003102,5
EPI00003103,3
EPI00003104,1
EPI00000016,4
EPI00003106,1
EPI00000017,4
EPI00003105,3
EPI00003107,1
EPI00003108,2
EPI00003109,5
EPI00003110,5
EPI00000018,4
EPI00003111,1
EPI00000019,4
EPI00000159,4
EPI00000135,4
EPI00000145,4
EPI00000160,4
EPI00000623,4
EPI00001727,5
EPI00001728,5
EPI00001553,5
EPI00001591,5
EPI00001741,5
EPI00001835,5
EPI00003007,4
EPI00001525,5
EPI00001547,5
EPI00001745,5
EPI00001576,5
EPI00001577,5
EPI00001578,5
EPI00001531,5
EPI00003013,5
EPI00003014,5
EPI00001642,5
EPI00001610,5
EPI00001798,5
EPI00001632,5
EPI00001641,5
EPI00001685,5
EPI00001873,3
EPI00001696,3
EPI00001829,5
EPI00001722,5
EPI00001560,5
EPI00001752,5
EPI00003580,5
EPI00001792,5
EPI00001796,5
EPI00003006,4
EPI00001598,5
EPI00001808,5
EPI00001810,5
EPI00001811,5
EPI00001807,5
EPI00001820,5
EPI00001530,5
EPI00001597,5
EPI00003053,2
EPI00003052,3
EPI00003140,5
EPI00003114,4
EPI00001725,5
EPI00001865,5
EPI00001866,5
EPI00003141,3
EPI00003120,4
